LOINC_NUM,LONG_COMMON_NAME,SHORTNAME,DisplayName,RELATEDNAMES2
718-7,Hemoglobin [Mass/volume] in Blood,Hemoglobin,Hemoglobin,
2823-3,Potassium [Moles/volume] in Serum,Potassium,Potassium,
6690-2,Leukocytes [#/volume] in Blood by Automated count,Leukocytes,Leukocytes,
777-3,Platelets [#/volume] in Blood by Automated count,Platelets,Platelets,
2951-2,Sodium [Moles/volume] in Serum,Sodium,Sodium,
2951-2 ,Sodium [Moles/volume] in Serum,Sodium,Sodium,
10000-8,Cardiotrophin 1 [Mass/volume] in Serum,Cardiotrophin 1 SerPl-mCnc,Cardiotrophin 1,CT-1
10001-6,Lead [Mass/volume] in Urine,Lead Ur-mCnc,Lead Ur,Pb
10002-4,Lead [Moles/volume] in Urine,Lead Ur-sCnc,Lead Ur Substance Concentration,Pb
10003-2,Hemoglobin F/Hemoglobin.total in Blood by Kleihauer-Betke method,Hgb F/Hgb.tot Bld Kleihauer-Betke,Hgb F/Hgb.tot Bld KB,HbF
10004-0,Hemoglobin F/Hemoglobin.total in Blood by Electrophoresis,Hgb F/Hgb.tot Bld Elec,Hgb F/Hgb.tot Bld Elec,HbF
10005-7,Metanephrine+Normetanephrine [Moles/time] in 24 hour Urine,MN+NMN 24h Ur-sRate,MN+NMN 24h Ur-sRate,
10006-5,Metadrenaline free [Moles/volume] in Plasma,Metadrenaline free Plas-sCnc,Metadrenaline free Plas-sCnc,
10007-3,Metenkefalin [Mass/volume] in Plasma,Metenkefalin Plas-mCnc,Metenkefalin Plas-mCnc,
10008-1,Propylthiouracil Ab [Presence] in Serum,Propylthiouracil Ab Ser Ql,PTU Ab Ser Ql,
10009-9,C peptide [Moles/volume] in Urine,C peptide Ur-sCnc,C peptide Ur-sCnc,Connecting Peptide 
10000-6,Synthetic LOINC code 10000-6,Synthetic 10000-6,Synthetic 10000-6,
10001-9,Synthetic LOINC code 10001-9,Synthetic 10001-9,Synthetic 10001-9,
10002-3,Synthetic LOINC code 10002-3,Synthetic 10002-3,Synthetic 10002-3,
10003-9,Synthetic LOINC code 10003-9,Synthetic 10003-9,Synthetic 10003-9,
10004-1,Synthetic LOINC code 10004-1,Synthetic 10004-1,Synthetic 10004-1,
10005-5,Synthetic LOINC code 10005-5,Synthetic 10005-5,Synthetic 10005-5,
10006-4,Synthetic LOINC code 10006-4,Synthetic 10006-4,Synthetic 10006-4,
10007-6,Synthetic LOINC code 10007-6,Synthetic 10007-6,Synthetic 10007-6,
10008-2,Synthetic LOINC code 10008-2,Synthetic 10008-2,Synthetic 10008-2,
10009-4,Synthetic LOINC code 10009-4,Synthetic 10009-4,Synthetic 10009-4,
10010-6,Synthetic LOINC code 10010-6,Synthetic 10010-6,Synthetic 10010-6,
10011-2,Synthetic LOINC code 10011-2,Synthetic 10011-2,Synthetic 10011-2,
10012-8,Synthetic LOINC code 10012-8,Synthetic 10012-8,Synthetic 10012-8,
10013-2,Synthetic LOINC code 10013-2,Synthetic 10013-2,Synthetic 10013-2,
10014-5,Synthetic LOINC code 10014-5,Synthetic 10014-5,Synthetic 10014-5,
10015-9,Synthetic LOINC code 10015-9,Synthetic 10015-9,Synthetic 10015-9,
10016-4,Synthetic LOINC code 10016-4,Synthetic 10016-4,Synthetic 10016-4,
10017-6,Synthetic LOINC code 10017-6,Synthetic 10017-6,Synthetic 10017-6,
10018-3,Synthetic LOINC code 10018-3,Synthetic 10018-3,Synthetic 10018-3,
10019-5,Synthetic LOINC code 10019-5,Synthetic 10019-5,Synthetic 10019-5,
10020-2,Synthetic LOINC code 10020-2,Synthetic 10020-2,Synthetic 10020-2,
10021-9,Synthetic LOINC code 10021-9,Synthetic 10021-9,Synthetic 10021-9,
